运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,88,base_model.model.model.layers.6.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,541.2671768726067,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,89,base_model.model.model.layers.6.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,134439.19548571337,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,90,base_model.model.model.layers.6.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,1773.9020555739792,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,91,base_model.model.model.layers.6.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,97800.58202331567,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,25816.00955183291,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,93,base_model.model.model.layers.7.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,33136.23414472322,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,failure,外积 CKKS skeleton,7329,94815,16,387413.57816708856,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,95,base_model.model.model.layers.7.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,16578.36818369736,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,96,base_model.model.model.layers.8.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,10755.655422603517,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,97,base_model.model.model.layers.8.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,9633.51453622316,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,98,base_model.model.model.layers.8.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,10054.003763219516,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,99,base_model.model.model.layers.8.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,10548.08664763515,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,100,base_model.model.model.layers.9.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,2466.7472042778536,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,101,base_model.model.model.layers.9.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,84035.65184508612,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,102,base_model.model.model.layers.9.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,7303.231938424004,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,103,base_model.model.model.layers.9.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,18363.078997243363,inv
